url,title,article_date,source,text_clean,week_number,top1,top1_confidence,top2,top2_confidence,confidence_gap
https://schoolsweek.co.uk/how-falling-school-rolls-are-not-just-londons-crisis/,How falling school rolls are not just London’s crisis,2026-01-09,schoolsweek,how falling school rolls are not just london s crisis shiremoor primary was once a two form entry school but in the past couple of years pupil numbers at the north tyneside school have dropped off a cliff all of a sudden the year before last the admissions numbers were just really far down and we ended up with about children which obviously isn t enough says headteacher barbara middleton i ve lost essentially two classes with school funding based on pupil numbers she has already had to let go three teachers shiremoor is an old mining community and it means that we need a lot of resource to support children in reaching the standards that we want them to reach she says i ve always overstaffed so that we could do really great interventions so that we could reduce class sizes this year we just haven t been able to overstaff in the way that we would normally shiremoor is rated good by ofsted children get a chromebook each to take for school work and benefit from specialist spanish and music teachers and intensive support in phonics but these interventions could be under threat my worry is that a lot of the things that i have been able to afford for my children i may no longer be able to says middleton shiremoor is far from alone declining childbirth rates since are now hitting school demographics taking many well above the advised per cent rate of surplus places to maintain flexibility most attention has focused on london where birthrates started falling a year before the rest of the country and where housing prices and brexit are driving emigration from the city but falling school rolls are biting outside the capital too analysis of council documents shows stockport has per cent surplus places in reception year alone and per cent surplus capacity in edgeley a suburb in the city southampton is forecasting surplus places in equivalent to classes central bedfordshire is forecasting around surplus places in a quarter of stoke s primary schools are predicted to hit at least per cent surplus capacity in the coming years and at least one school in south norfolk was allocated no children for its intake councils school closures as a last resort with a government presumption against the closure of rural schools but they are happening even where they re not local authorities warn they may become inevitable the standard reported last summer that london schools were set to shut at the start of the academic year but closures aren t limited to the capital last year hackforth and horn in north yorkshire shut after it shrank to just eight pupils snape wood primary in nottingham will shut this autumn after its unfilled capacity rose to per cent while hertfordshire county council is consulting on closing two primaries so far declining birthrates have mainly hit primaries but secondary schools will be affected as the demographic black hole progresses up the age range in camden north london which has experienced a per cent fall in childbirth rates since the council has already cut secondary school intake by entry year classes parental choice can exacerbate the situation declining numbers mean the most popular local schools are less likely to be oversubscribed as more parents to flock to these popular schools less popular schools are left with rapidly shrinking pupil numbers a recent norfolk county council report said that in its rural cromer and sheringham planning area which has per cent surplus capacity in its primary schools uncontrolled parental preference for more popular schools has led to the total destabilisation of other schools in the area the first response is to reduce published admission numbers cutting the number of pupils schools can admit this allows more realistic planning and potentially lower staff headcounts but it can also mean mixed year classes to support effective models of curriculum planning and delivery we will seek wherever possible solutions that enable single age classes a norfolk council report said in october where this is not possible cohorts of support two year mixed age group classes or which supports three year mixed age group classes limits the impact of mixed aged teaching but while pans can be cut the size and cost of senior staffing and school buildings are more static the next stage is for schools to either join a multi academy trust or federation or merge with another school enabling staffing efficiencies including at management level schools that shrink or merge are also left with potentially redundant buildings to maintain but councils are keen to hold on to them as birthrates may rise again there are opportunities here as well with the government encouraging primary schools to open nurseries in unused classrooms other alternatives for redundant school buildings include send provision sharing facilities with community groups and post programmes government falling rolls funding can usually only be spent on schools that can show their shrinking pupil numbers are temporary and will be reversed within a few years but this funding can be used to repurpose space to create send provision or early years places even where no bounceback is forecast repurposing school buildings is not a panacea however whilst the government s agenda around early years and childcare and sufficiency will utilise some surplus capacity in primary schools west sussex county council warned in a recent report this will not be sufficient to actively plan for the significant reduction in need for primary school places projected last month newham council in east london approved shutting calverton primary school at the end of this academic year after filling less than half its capacity all children will be offered places at local schools while those with education health and care plans will have early annual reviews to determine their next placement the school s specialist send provision something the government wants to encourage has made its closure particularly controversial ofsted rated the school outstanding in all areas last summer and lavished praise on its send provision darren williams the executive head of the cpd schools federation that includes calverton said the closure was inevitable we marketed the school as best as we could and particularly amongst our parents with younger children to get them in as early as possible but other than that we were in a very challenging position where the roll has been falling for a number of years he says the council has given assurances that pupils with ehcps will be found alternative provision but he worries about those with high needs but no ehcp a much smaller number of schools have resourced provision and a large number of mainstream children that access our resourced provision require that more specialist support local authorities are setting out criteria on how they will judge pan reductions and what might lead them to close schools however the office of the schools adjudicator has shown its willingness to block inadequately laid plans last year it stopped closures in lambeth south london and the isle of wight the department for education should ensure that all schools including academies work together as a local ecosystem to manage the implications of any school closures says amanda hopgood chair of the local government association s children young people and families committee there is much evidence of the impact falling rolls have on school finances more schools in southampton have running deficits with a council report noting this is largely due to a decrease in pupil numbers leading to a reduction in funding there was a per cent fall in reception year pupils in islington north london and a per cent fall in year pupils between and with schools collective net balances falling from million in to million in so far three schools have closed and two have merged into other schools a reduction of just ten pupils can have a significant financial impact on a school s income but very little impact on its ability to reduce costs a council report said according to the confederation of school trusts per cent of trust chief executives identified falling rolls as one of the three most immediate risks to their financial stability in up from per cent in almost per cent of ceos of trusts with more than schools flagged falling rolls as an immediate financial risk compared with per cent of ceos of single school trusts leora cruddas the confederation s chief executive says trusts are looking carefully at costs and where unused classrooms can be repurposed for things like nursery provision but this is not always straightforward school closures also present a financial risk to councils calverton s closure is expected to cost newham up to million with the council having to absorb its estimated million deficit it shuts worsened numbers plus million in redundancy and pension costs and for leasing agreements newham s report described such costs as a growing risk given a number of other mainly small schools are on a similar path of falling pupil numbers without reducing expenditure budgets at a matching pace housebuilding can help push back the tide but this can mean some councils having to deal with both pupil growth pressures and falling school rolls at the same time wokingham has a surplus of primary places and will require further reductions in admission numbers but rising roll numbers in some parts of the borough mean there is insufficient local provision a report said the cuts in funding driven only compound the impact of years of real terms reductions you re talking double figure years since we ve had a rise in the amount of money per child in real terms adds middleton it makes for a bleak financial future she says as the cut in funding combines with special needs pressures that are costing the system an absolute fortune,1,what_matters_ed,0.43803436039624954,political_environment_key_organisations,0.2390474922781244,0.19898686811812513
https://schoolsweek.co.uk/new-powers-to-close-academy-trusts-must-be-used-with-caution/,New powers to close academy trusts ‘must be used with caution’,2026-01-09,schoolsweek,new powers to close academy trusts must be used with caution new powers to allow ministers to close academy trusts for educational failure should be used rarely and with caution sector leaders have warned presently ministers can re broker individual schools from trusts if inspectors find them to be failing but trusts can only be closed and all their schools moved to other chains in one go following financial or governance failures the government is now poised to hand itself sweeping powers to intervene for educational failures at trust level as part of a government amendment to the children s wellbeing and schools bill that would require ofsted to regularly inspect academy trusts leaders have broadly welcomed the move arguing where schools are inadequately run there should be a change of governance while others stress trusts must not be discouraged from taking on challenging schools the proposed legislation would require ofsted to begin inspecting academy trusts central teams for the first time with inspections taking place at regular intervals from as early as next year it would also give the education secretary new powers to terminate trusts funding agreements if ofsted finds the chain underperforming from an education perspective if trust leaders are failing to lead manage or govern either the trust or an academy to an acceptable standard ofsted must notify the education secretary it must also lay out whether it feels leaders show capacity to secure the necessary improvement the education secretary may then serve a termination warning notice to the trust if the trust fails to comply with this notice take specified action or respond on time the secretary of state could terminate its academy funding agreement its academies would be moved to a strong trust and the department would support this process pepe di iasio the general secretary of the association of school and college leaders said once there was a proportionate and effective system in place it would seem appropriate to consider how trust level intervention might need to change but this must be done carefully trusts must not be discouraged from taking on schools in challenging circumstances he said trust level intervention would clearly have significant ramifications and we would expect the secretary of state to use these powers very rarely steve rollett the deputy chief executive of the federation of school trusts said the power to intervene at trust level is important and caution will be essential as these new powers are rolled out england s education system is good and moving towards being great so we should not anticipate these powers being used frequently he added getting the threshold for intervention right will be crucial michael barton head of policy and impact at the national governance association said if a trust inspection identified significant trust wide concerns it was appropriate that it lead to proportionate trust wide intervention just as it does where ofsted currently identifies significant concerns at the school level many trust leaders have welcomed the proposals while awaiting further detail that will be in the inspection framework sir jon coles chief executive of united learning said anyone with the interests of children at heart would agree there should be a change of governance of schools which are inadequately run and where a governance authority is systematically failing to run schools adequately the schools it is responsible for should be removed from its jurisdiction and run paul stone the chief executive of nene education trust said while a big change the proposal would level the playing field between academies and maintained schools there are failing maintained schools and there are failing academies he said is to be expected if a mat s not working the dfe said mat inspections will raise standards in education and make the system fairer more transparent helping to close what it described as a gap in accountability it is not right that the overall approach taken at trust level by members trustees and senior executives is not eligible for independent inspection in a dfe laying out guiding principles for the policy the department agreed the approach should not act as a disincentive for strong trusts to take struggling poorly performing schools into their trust there must be an inbuilt understanding that improvement takes time and a focus on improvement trajectory not just absolute outcomes it added caroline barlow and keziah featherstone joint chairs of the headteachers roundtable said they were broadly supportive of the move in principle mats should be accountable for the role they play in the system especially given the transfer of funding from schools to central services however we have to have confidence in the methodology and implementation whilst there are still significant question marks about the new framework and subjectivity in its application given the known influence of some big mats there are a number of concerns and questions that remain unanswered some other leaders have raised concerns about the proposed intervention powers stuart lock chief executive of advantage schools said he was broadly sympathetic to ministers having the ability to intervene in the genuinely rare cases where a trust is failing on educational standards the issue for me isn t the principle of intervention but the mechanism being proposed lock said inspecting trusts as well as schools doesn t materially solve that problem it creates another layer of performance measurement when schools and trusts are already subject to extensive scrutiny we don t have a lack of data about educational standards we have plenty of it if the amendment were focused on giving ministers clearer faster powers to act where standards across a group of schools are demonstrably poor i d be inclined to support that as it stands however this risks duplicating ofsted s work and increasing workload for both ofsted and trusts without directly addressing the underlying issue it s trying to fix baroness barran the former academies minister and now shadow education minister described the policy as rushed with many more questions than answers if you are going to inspect all mats then you should inspect all school groups including las and federations she said this is something cst has also previously argued barran also questioned why the changes weren t considered alongside ofsted s recent education inspection overhaul a mat inspection is largely the sum of its school inspections and there will now be totally avoidable duplication why wasn t this thought through at the time of changing the school inspection framework,1,political_environment_key_organisations,0.5798662982834989,teacher_rrd,0.16169613767757401,0.4181701606059249
https://schoolsweek.co.uk/internal-exclusion-reset-or-rejection/,Internal exclusion: Reset or rejection?,2026-01-09,schoolsweek,internal exclusion reset or rejection secondary schools that use internal exclusion are isolating almost a fifth of their pupils from their classmates at least once each year new data shows department for education guidance states that removal from the classroom sometimes called internal exclusion or isolation should be considered a serious sanction and used once all other behaviour strategies are attempted despite the seriousness of the measure the government does not collect national data on its use but analysis of hundreds of schools group which owns management information system provider arbor has laid bare how often the measure is practised it comes as parents report that children with unmet special educational needs felt imprisoned after internal exclusion while others said their child became selectively mute after feeling like the reject kid but some sector leaders defended the practice as a reset strategy designed to reboot the student s behaviour and attitudes and as a way to prevent suspensions or permanent exclusions data from the key group revealed per cent of pupils were internally excluded at least once in the secondary schools that recorded internal exclusion in the proportion was similar to the previous two academic years and per cent the data excludes schools that recorded no use of internal exclusion haroon chowdry the chief executive of the centre for young lives said the research showed why better data and transparency on internal isolation was needed as well as other back door forms of lost learning and exclusion the government should routinely collect this both to shine a light on it and to ask why it is happening the figures extracted from arbor in november also show a further per cent of primary pupils were internally excluded across schools with per cent of special school pupils nicola west jones the director of insights and external relations at the key group said it was previously impossible to obtain the data needed to understand internal exclusion rates schools can make their own decisions about the extent to which they use internal exclusions so to that end it s interesting to see that overall over the past three years there has been very little change in both the percentage of secondary pupils who have had at least one internal exclusion recorded in arbor as well as the rate it will be interesting to see if this changes in either direction over time when sam strickland became principal of duston school in northamptonshire nine years ago he found its isolation room in total disarray it had about pupils making the member of staff who s managing the room s life a misery graffiti everywhere instead of getting rid of internal exclusions strickland changed how they worked now disruptive pupils are removed from the classroom and placed one to one with a senior member of staff in their office they complete their work but also get pastoral support you are truly isolated you are on your own with a member of staff strickland said the flip side of that is that member of staff isn t going to just ignore you will support you if you need that help but equally you can t really mess around at beacon high school in north london pupils are sent to a refocus room those who may have underlying issues affecting their behaviour are directed to the wellbeing centre within the room to receive pastoral support pupils who persistently misbehave are placed on a pathways programme where the school identifies and provides support for particular issues that might be causing their behaviour alan streeter the school s head said his system showed pupils three quarters of whom are eligible for pupil premium that we re not just here to punish you we re here to understand what you need to be successful tom bennett the government s behaviour and attendance ambassador said internal exclusions should be described as a reset it s a strategy designed to reboot the student s behaviour and attitudes in a small group environment it s not a punishment but a way of preventing or reducing actual suspensions and permanent exclusions bennett argued the practice was important to demonstrate to the rest of the school community that their safety and learning matters but many campaigners have warned against the impact of internal exclusions ellie costello from parent support organisation square peg said an internal exclusion can set a ball off in a child s life that can have unimaginable consequences that disproportionately harms those facing the greatest challenges a study of manchester found pupils with an education health and care plan eligible for free school meals and from black asian and mixed heritage backgrounds were more likely to be sent to isolation nikola jones from south manchester said her son s time in one school s isolation room after a playground incident caused six weeks of anguish and resulted in him becoming selectively mute he kept calling himself the reject kid his social workers said it retriggered all these feelings of rejection shame and humiliation jones said another parent from south hampshire who requested anonymity described how his daughter with unmet send needs was sent to an isolation room on a weekly basis she felt at times she was being imprisoned for things she wasn t able to control and for reasons she didn t feel were right and weren t properly explained to her the key group s data found that out of pupils at special schools using internal exclusions per cent were sent to isolation at least once horizons education trust runs three special schools adam dabin its chief executive said putting pupils with social emotional and mental health or adhd in isolation is probably everything they can t do anyway if you then expect them to sit there and do that in silence not move have no support how are we expecting them to succeed in there at orchards academy in kent headteacher hannah carter introduced movement breaks for disadvantaged pupils who would otherwise find themselves in isolation to exclude them from the room may be perceived as a form of rejection carter said instead of being sent to an isolation room pupils can access learning in another classroom teaching the same subject carter said it had been working really well because it means they stay within the subject that they were learning and are following the same curriculum but it s a fresh start in a new classroom the key group s data also suggests schools run by multi academy trusts are more likely to use internal exclusions as a behaviour management tool compared to council maintained secondaries in the academic year there were internal exclusions per pupils in mat run secondaries while la maintained secondaries had a rate of per pupils however the key group said any differences between mat and la schools could be explained by mat wide policies around recording internal exclusions on the mis for consistency of reporting so we should be cautious about interpretation of these results bennett suggested mats may be using internal exclusions more because they have understood that resets can be a useful device to reduce suspensions steve rollett the deputy chief executive of the confederation of school trusts said it was difficult to draw conclusions from the data as internal exclusions can cover a lot of different practices schools of all types use a range of techniques to address behaviour,1,what_matters_ed,0.6352906309870336,teacher_rrd,0.09696676747612996,0.5383238635109037
https://schoolsweek.co.uk/dfe-plans-to-use-ai-to-help-answer-your-emails/,DfE plans to use AI to help answer your emails,2026-01-09,schoolsweek,dfe plans to use ai to help answer your emails the department for education could soon use artificial intelligence to draft responses to as much as per cent of its external correspondence plans published in december office the department for science innovation and technology and the government digital service reveal details of the dfe s correspondence drafter tool the plans say the system can reduce the time it takes to draft a response to external correspondence from to just one minute it will create opportunities to prioritise more complex and high priority work and in turn hopefully enhance the department s reputation with regards to responding to external queries the department told schools week the tool will help to support some types of public correspondence from early this year it is not clear whether it will be used to answer formal complaints but a digital safety campaigner has warned the tool cannot replicate the necessary nuance and sensitivity to reply to a human being while the public and commercial services union has urged the government to protect employees jobs the tool will use microsoft s open azure ai which can be used to write a first response to external queries the ai searches for the relevant documents and information before drafting the response in an template a staff member must review the text and is able to edit it before copying and pasting the azure model provides extra security compared with other large language models plans indicate while open source llms which scan the internet rather than uploaded documents have not been approved the next phase of any rollout will include uploading about documents to the system the government says it expects the tool ultimately could address per cent of the dfe s monthly queries an impact assessment completed in november did not raise any concerns around the design of the tool but the dfe said there were risks of hallucinations misleading or false information presented as fact that might impact accuracy the model has been developed to only pull information from inputted data which should mitigate the danger of such hallucinations if the query does not relate to topics within the model s data it will default to a message saying it is not available the dfe did not respond when asked whether the introduction of the model would result in staff cuts but it said ai has the power to transform the way we live and work and like many organisations we are harnessing ai and technology across the government to improve efficiencies its present use of ai to support responses to public enquiries has led to improved efficiencies faster response times and better allocation of resource plans say the model will create opportunities to prioritise more complex and high priority work and in turn hopefully enhance the department s reputation with regards to responding to external queries but fran heathcoate the general secretary of the public and commercial services union which represents civil servants said any use of ai must improve workers lives and public services we are urging government departments and arms length bodies to protect employees and public from potential harms ensure accountability and to strengthen trade union rights in relation to ai jen persson the director of defend digital me questioned whether the plans actually solve a problem the idea that text generators can do the thinking that incorporates the necessary nuance and sensitivity to reply to a human being is often misplaced time and effort are rarely reduced in drafting correspondence persson said there were questions here to consider for liability confidentiality stability and security i suspect once we see independent research we will find it is overall felt to be helpful but in terms of who gains the most we may find it s those ai companies rather than budgets our civil servants or public interest ai is already used across a range of government departments according to a house of commons library report the dfe is also experimenting with an ai tool to assist teachers documents such as curriculum guidance and lesson plans with ofsted testing ai tools to predict which schools may decline in performance,1,edtech,0.7120764895147295,political_environment_key_organisations,0.18135198033191008,0.5307245091828194
https://schoolsweek.co.uk/no-internal-audit-for-arthur-terry-trust-with-8-4m-deficit/,No internal audit for trust with £8.4m deficit,2026-01-09,schoolsweek,no internal audit for trust with m deficit a trouble hit academy trust has admitted it did not conduct internal financial checks as its deficit swelled to more than million and it received another government loan to keep it afloat accounts for the arthur terry learning partnership show the school mat could also receive a further million in emergency funding schools week previously revealed how arthur terry had racked up seven figure losses after purchasing ipads as part of an initiative to provide devices for all pupils and staff the comes after another major trust pulled itself out of six figure deficit and into a surplus of more than million in arthur terry was issued with a notice to improve on financial grounds after being offered a million government loan and posting an almost million deficit but accounts published this week show it received more deficit funding as it slipped to an million deficit in all it has been loaned million all of which had been drawn down end the accounts added trust chiefs had struck an agreement in principle with officials for an additional million of repayable funding a trust spokesperson said it has navigated through several financial challenges over the past few years while it accept that some are due to internal issues it is also well recognised that the landscape for schools over this period has caused and is causing all schools to make difficult decisions accounts also said no financial internal audit activity took place over the year this was due to significant changes being implemented to financial processes systems and platforms alongside considerable turnover within the finance team an audit of changes implemented in has since taken place with an initial review undertaken during november to validate and assess the changes implemented however phil reynolds of plr advisory said the checks could have helped with the deficit as procedural issues could be slipping the net quite easily without them an internal audit isn t there to find financial issues if that wasn t done this year how can the trustees get assurance that these are being adhered to the academy trust handbook says trusts must establish a programme of internal scrutiny to provide independent assurance to the board that its systems controls and risk management procedures are operating effectively the trust stressed it obtained assurance during the year through several deployments of government school resource management advisers its spokesperson added the mat has worked with several external professionals over the year to ensure that financial planning is scrutinised elsewhere the diocese of norwich education and academies trust posted a million surplus after a deficit the year before oliver burwood its chief executive said the mat which runs primaries and one secondary overachieved on its budget this year he acknowledged the trust had been overoptimistic in terms of income predictions before shifting to a cautious approach,1,political_environment_key_organisations,0.4198630477609185,what_matters_ed,0.19789197002531747,0.221971077735601
https://schoolsweek.co.uk/call-for-ministers-to-settle-debate-over-make-up-of-mats/,Call for ministers to settle debate over make-up of MATs,2026-01-10,schoolsweek,call for ministers to settle debate over make up of mats ministers are being urged to settle debate over their desired make up of academy trusts after a huge mat opted to give up two special schools it believes are better off in a send chain another trust said it would be impossible for it to take on some special schools while another chief executive warned there wasn t external resource to meet the needs of those children in his area despite this more trusts are opting not to specialise amid an explosion in the number of children with special needs jonathan simons director of education at the public first think tank believes this reflects the conflicting currents and eddies in the system with leaders without a single direction of travel we simply don t know enough to determine what the best structure is but if the government wants more children educated in mainstream settings then it will need to engage with these different currents and eddies lift schools the fifth largest trust in the country is set to hand over two special schools both in essex which cater for children with profound and multiple learning disabilities and severe learning difficulties lift said that as part of its long term strategic planning it concluded the next phase of development for both schools is best supported within a specialist trust the move will leave the chain with just three special schools which have different specialisms the trust said it has made clear to its wider staff that the plans only apply to their two pmld and sld schools elsewhere the meridian trust which runs academies including three special schools called the crisis in send provision one of its and the country s principal risks the scale of the deficits reported schools had made it impossible to welcome them into the trust with local authorities allowed to slide into irrecoverable debt and run far into the ground key multi agency support required for quality provision is seldom seen recruitment was also a significant challenge meridian added because of an under provision of send teacher training and the comparative pay of support workers paul rickeard the chief executive of the durham and newcastle diocesan learning trust said a lack of external resource to meet the needs of these children made it unlikely he would take on a special school he said his mat has had to stump up for private educational psychologists and occupational therapists as the local authorities in his area were struggling to meet demand with increasingly long waiting times if such resources were more forthcoming the trust would then welcome such a provision he said analysis of government data shows trusts have at least one special school up slightly from in just over of the academies in the trusts are special schools that figure stood at per cent in suggesting they have taken on growing numbers of mainstream schools in august it was announced that transforming futures trust which runs three special schools and one ap will merge with the reach south academy trust reach south said the move would build its capacity to deliver high quality education across a broader range of needs billingborough primary in lincolnshire was given the go ahead to convert to academy status the year before following a change in pupil make up triggered by a rise in the number of youngsters with complex and additional needs the community inclusive trust was the school s preferred option as it could benefit from the and expertise of practitioners in special school settings leora cruddas the chief executive of theconfederation of school trusts noted every chain is different and will be looking at their strategic approach and how they can best support their schools some might be all primary or all specialist for example or a mix of different types and phases of schools it was recently revealed that government officials are working on white paper proposals to encourage all schools to be in a group though it is not known how this would be defined however tom richmond a former dfe adviser believes a clear steer is needed on whether the want trusts to branch out or stick to what they know we have spent years muddling through whether trusts should be specialist or generalist with the tight funding settlement set to continue the case for specialising within trusts is becoming stronger the dfe has been approached for comment,1,political_environment_key_organisations,0.41742517075708313,what_matters_ed,0.24834606601431625,0.16907910474276688
https://schoolsweek.co.uk/primary-headteachers-share-joy-and-surprise-at-being-made-mbes/,Primary headteachers share joy and surprise at being made MBEs,2026-01-11,schoolsweek,primary headteachers joy and surprise at being made mbes four primary school headteachers have been awarded mbes in the new year honours list the serving heads are among people working in or with schools who have been recognised in a list that included a knighthood for an academy trust chief executive and a damehood for a professor of social mobility remi atoyebi the head of osmani primary school in east london for years was gobsmacked when she found she had been awarded an mbe for services to education thirty five per of pupils at her school are eligible for free school meals and per cent speak english as a second language atoyebi has worked hard to widen pupils horizons through programmes such as partnerships with city firms the school also runs a range of classes for parents including english and computing workshops and a volunteer scheme to help parents gain work as a member of the bame community atoyebi is deeply committed to inclusive leadership and has coached and supported more than people from bame backgrounds to reach senior leadership roles of her mbe still feels very surreal i m deeply grateful and i m humbled she said adding the recognition is not just for me but for staff pupils parents and osmani s governing body edison david the executive headteacher of the outstanding rated granton primary in south london said he was deeply honoured to have received an mbe it has been a privilege to serve children families and school communities in this country for nearly two decades he moved to the uk in and is believed to be the first person of filipino heritage to receive an mbe for services to education i this honour with all overseas teachers and leaders who contribute so much to the fabric of british education he said vanessa langley the head of arbourthorne community primary school in sheffield for years said she was elated to have received the honour which she dedicated to the community genuine inclusion for learning sits at the heart of what makes us special she said we ve got languages spoken here per cent of the children on the special education needs register per cent entitled to pupil premium and per cent global majority it s a vibrant and energetic environment ofsted described the school in as a place of joy inclusivity and learning where everyone is valued the school redistributes surplus food grows produce on for families and runs a community kitchen for parents parents have some very challenging circumstances said langley unless we address the needs of the community it s very difficult to get the outcomes that we ve been looking for john francis towers the head of the private barrow hills school in surrey also received an mbe meanwhile rebecca bollands head of earlson primary in coventry was made an mbe for services to cultural education she has helped create cultural opportunities for thousands of young people particularly those who would not otherwise have them through roles at the coventry cultural education partnership and the royal ballet and opera she described the transformational effect of the arts and importance of ensuring access for disadvantaged young people going into our heritage places cultural places theatres that s something that they have a right to as well it s about that accessibility them realising actually i ve got as much right to be in these buildings as all these people with tons of money and advantage dr stephen taylor the chief executive of the school cabot learning federation and chair of the queen street group of academy leaders was knighted for services to education he paid tribute to those at clf and in the wider sector whose work and successes have inspired me over the years to strive to do my best for the children we serve he was extremely grateful for this honour and look forward to sharing the with colleagues and sharing the with my family whose support i never take for granted sonia blandford professor of social mobility at plymouth marjon university and founder of the school improvement charity achievement for all was made a dame she thanked all my colleagues friends and family for your support and kindness throughout my career adding i am proud to be a member of the teaching profession,1,political_environment_key_organisations,0.2931290691524812,teacher_rrd,0.27987275553895774,0.013256313613523474
https://schoolsweek.co.uk/impact-of-rise-teams-to-be-published-this-year/,Impact of RISE teams to be published this year,2026-01-12,schoolsweek,impact of rise teams to be published this year ministers are set to publish data on the effectiveness of new rise school improvement teams in the spring but they won t out individual advisers for poor performance sixty five experienced turnaround school leaders were appointed as advisers on the labour programme which launched last year they are appointed to struggling schools in their region to identify priorities and propose an outside organisation to deliver support regional directors within the department for education then make final decisions with up to funding available for each school no information on the scheme s impact has so far been published but in response to a question from former education secretary damian hinds georgia gould the schools minister said the department expects to start publishing that data with appropriate comparisons over time during she added the impact of rise intervention will rely on both a quantitative evaluation of the impact on pupils and an evaluation on the process and delivery of rise the dfe confirmed an interim process evaluation report will be published in the spring more interim assessments are planned before the release of a final process evaluation in the assessments will involve a range of outcome measures for targeted rise schools comparing their data to schools which are as similar as possible in their pupil characteristics and previous trends dfe said a schools week investigation last year found one in five of the schools receiving support are getting it from an organisation employing another rise adviser one trust chief executive who did not want to be named said it gives the perception of jobs for the boys however gould when answering a question from shadow education minister nick timothy confirmed the government does not intend to publish individual adviser objectives these are part of personal performance management and may constitute personal data that cannot be disclosed under data protection requirements,1,political_environment_key_organisations,0.6056717839464134,what_matters_ed,0.1320626332933122,0.4736091506531012
https://schoolsweek.co.uk/ofsted-publishes-first-school-report-cards/,Ofsted publishes first school report cards,2026-01-12,schoolsweek,ofsted publishes first school report cards ofsted has published its first report cards from new school inspections as the leaders of featured schools warn about the impact of repeated visits and question some of the outcomes reports for volunteer schools primary schools and nine secondaries inspected under the framework that took effect in november had so far been published by ofsted as of thursday night as schools volunteered for the inspections we would expect the outcomes to be positive the inspectorate has previously said the likely three most commonly awarded grades will be the middle three needs attention expected standard and strong standard schools week analysis shows of the individual grades awarded just four needs attention grades were given across four schools no school received the lowest urgent improvement rating the grades were instead largely clustered around the middle and second highest point on the five point scale with at expected standard and strong standard meanwhile nine exceptional grades were awarded across two primary schools and one secondary leigh academy halley a secondary and sixth form in greenwich south london was the highest rated of the schools with five exceptional grades and two strong standard inspectors said pupils from all backgrounds are welcomed nurtured challenged and supported at the exceptionally inclusive school where they feel safe attend very well and thrive principal ben russell said the school could not be more delighted but simon beamish the chief executive of its sponsor the leigh academies trust said although the outcome from this inspection was superb it didn t feel like a more humane ten hmi inspected the school across two days from november but the report says inspectors had to return almost a month later to gather additional evidence as you can imagine this was distressing for staff beamish believes inspectors had initially failed to enter evidence on laptops during every inspection activity as directed ofsted was approached for comment beamish also said some grade descriptors in the achievement area appeared very one dimensional context was not taken into account as much as we had been led to believe it is only right that in a school like halley with a very high level of mobility disadvantage and eal these are interpreted carefully with proper regard to the pupil cohort he said inspectors eventually took this on board but it took some time st leonard s church of england primary academy in hastings received six expected standard grades but needs attention for attendance and behaviour inspectors said pupils behave well but that attendance is not high enough leaders have taken steps to reduce the barriers some pupils face but this is not yet effective enough meaning some pupils miss too much school particularly those with send faith rew the school s head said it was regrettable that under the new framework her school s well established strengths in behaviour are obscured by a needs attention judgment relating solely to attendance data shows the school s absence rate sat at per cent in above the national average of per cent meanwhile its persistent absence was per cent above a per cent national average while we fully accept our responsibility to improve attendance for all pupils we remain proud of the consistently positive responsible and kind behaviour strong engagement and positive attitudes to learning shown across the school said rew meanwhile ark castletown primary academy in hastings was graded strong standard for attendance and behaviour despite having similar levels of absence and persistent absence inspectors said detailed and precise work with pupils and families had led to notable improvements in attendance attendance among disadvantaged pupils and those with send was above average and the described it as an extremely inclusive school ofsted has made clear inspectors will take context into account and look beyond numbers alone when grading ark schools managing director venessa willms said attendance has been a top priority for the ark network this year and we re delighted that ofsted has recognised our hard work meanwhile andrew rigby national director of education at reach academy trust described ofsted s new secure fit grading model as a double edged sword four reach schools have so far been inspected under the new framework including aerodrome primary in croydon a volunteer school which received two strong standard grades and five expected standard writing for schools week rigby said we ve seen schools meet every descriptor for strong except one and then land at expected but he said inspectors stressed that expected standard is a high bar it really does signal that a school is doing the right things consistently and well he said he was pleased to see the narrative of aeorodome s report card reflect what makes the school tick lorraine clarke ark s director of primary said the new report makes it easier for parents and the wider community to understand what really matters others disagreed one x user described ark castledown s report as not very friendly for viewing meanwhile beamish warned new report cards are much longer i do wonder how many parents will get to the end meanwhile shaftesbury primary school i n forest gate london scored three exceptional grades and four strong standard headteacher alma begum said the new inspection framework genuinely felt different inspectors were transparent and the process collaborative with leaders meanwhile the approach was thorough inspectors spent extended periods in classrooms and listened carefully to pupils staff and parents she said the addition of the nominee role was invaluable their presence offered consistent support for both the headteacher and staff throughout the process she said begum felt genuinely listened to and that her school s context was carefully considered at every stage report cards for the first non voluntary ofsted inspections under the new framework which began in december are yet to be published andy jordan inspection and accountability specialist at leaders union ascl said this will give a better understanding of how the new system is working adding we will be keeping a close eye on this and supporting members as necessary meanwhile he said high grades for volunteer schools were anticipated and reflect the hard work that has gone on in these institutions,1,political_environment_key_organisations,0.5829464924648641,what_matters_ed,0.16823007860702544,0.41471641385783864
