id,newsletter_number,issue_date,theme,subtheme,title,description,link,new_theme,domain,organisation,title_length,description_length,title_word_count,description_word_count,text,text_length_chars,text_length_words
c97ff62f-83ca-47ec-a4c7-b4e24157ae0a,1,11 July 2023,Calls for evidence,,Deadline 23 August 2023,"Education secretary Gillian Keegan has launched a call for evidence on using artificial intelligence (AI) like ChatGPT in schools ""to get the best"" out of the new technology.",https://schoolsweek.co.uk/chatgpt-keegan-launches-call-for-evidence-on-ai-in-schools,political_context_and_organisations,schoolsweek.co.uk,schools_week,23,174,4,28,"Deadline 23 August 2023 Education secretary Gillian Keegan has launched a call for evidence on using artificial intelligence (AI) like ChatGPT in schools ""to get the best"" out of the new technology.",198,32
e66a8dd2-0dce-444a-876c-3c8137ea2985,1,11 July 2023,DfE,,Revealed: the experts advising ministers on teacher training reforms review,"The Department for Education has appointed an ""external steering group"" to review both the initial teacher training and early career frameworks, first launched in 2019. The group is made up of seven experts who are ""closely familiar"" with both reforms, as well as the ""underpinning evidence"". They will help ""shape the work of the review, scrutinising, supporting and challenging our thinking"", the DfE said.",https://schoolsweek.co.uk/revealed-the-experts-advising-ministers-on-teacher-training-reforms-review,political_context_and_organisations,schoolsweek.co.uk,schools_week,75,408,10,64,"Revealed: the experts advising ministers on teacher training reforms review The Department for Education has appointed an ""external steering group"" to review both the initial teacher training and early career frameworks, first launched in 2019. The group is made up of seven experts who are ""closely familiar"" with both reforms, as well as the ""underpinning evidence"". They will help ""shape the work of the review, scrutinising, supporting and challenging our thinking"", the DfE said.",484,74
2ce7fa71-0b07-417c-a7d3-8d18e8f12716,1,11 July 2023,DfE,,"Reject fewer teacher applicants, DfE tells trainers","Susan Acland-Hood, the DfE's permanent secretary, told providers a 7 per cent jump in applicants this year had not led to an equivalent rise in offers for courses.",https://schoolsweek.co.uk/reject-fewer-teacher-applicants-dfe-tells-trainers,political_context_and_organisations,schoolsweek.co.uk,schools_week,51,163,7,28,"Reject fewer teacher applicants, DfE tells trainers Susan Acland-Hood, the DfE's permanent secretary, told providers a 7 per cent jump in applicants this year had not led to an equivalent rise in offers for courses.",215,35
64c74d6d-b558-4183-a42d-e7f0141ce527,1,11 July 2023,DfE,,Ofqual and DfE studying 'feasibility' of 'fully digital' exams,"Some exam boards are already piloting on-screen assessment, but research by AQA last year found teachers' biggest barrier to digital exams was a lack of infrastructure. https://schoolsweek.co.uk/ofqual-and-dfe-studying-feasibility-of-fully-digital-exams/",https://schoolsweek.co.uk/teachers-back-digital-exams-in-principle-but-school-tech-not-yet-up-to-scratch,political_context_and_organisations,schoolsweek.co.uk,schools_week,62,254,9,27,"Ofqual and DfE studying 'feasibility' of 'fully digital' exams Some exam boards are already piloting on-screen assessment, but research by AQA last year found teachers' biggest barrier to digital exams was a lack of infrastructure. https://schoolsweek.co.uk/ofqual-and-dfe-studying-feasibility-of-fully-digital-exams/",317,36
5564ff61-bf33-482f-9010-32aea9ce1f73,1,11 July 2023,What are the politicians saying?,,Revealed: The full details of Labour's education 'mission',"Entitled 'Breaking down the barrier to opportunity', Labour will 'revise delivery' of the ECF and give more details on the plan to simplify the system of teacher incentives. Full mission document here - https://schoolsweek.co.uk/wp-content/uploads/2023/07/Labour-breaking-down-barriers-document.pdf",https://schoolsweek.co.uk/revealed-the-full-details-of-labours-education-mission,political_context_and_organisations,schoolsweek.co.uk,schools_week,58,298,8,34,"Revealed: The full details of Labour's education 'mission' Entitled 'Breaking down the barrier to opportunity', Labour will 'revise delivery' of the ECF and give more details on the plan to simplify the system of teacher incentives. Full mission document here - https://schoolsweek.co.uk/wp-content/uploads/2023/07/Labour-breaking-down-barriers-document.pdf",357,42
38ffb848-63e3-46b7-9c1a-db8ec2b5c319,1,11 July 2023,What are the politicians saying?,,Lib Dem,"Munira Wilson, Lib Dem spokesperson for education, is currently drawing up what she says is a ""strong education offer"" in the Lib Dem manifesto. Details seem thin on the ground so far. https://schoolsweek.co.uk/munira-wilson-lib-dem-education-spokesperson/",https://schoolsweek.co.uk/munira-wilson-lib-dem-education-spokesperson,political_context_and_organisations,schoolsweek.co.uk,schools_week,7,256,2,33,"Lib Dem Munira Wilson, Lib Dem spokesperson for education, is currently drawing up what she says is a ""strong education offer"" in the Lib Dem manifesto. Details seem thin on the ground so far. https://schoolsweek.co.uk/munira-wilson-lib-dem-education-spokesperson/",264,35
c447d999-a0b5-4f21-8dd5-5fcda2abfe16,1,11 July 2023,Thematic roundup,"Teacher recruitment, retention and development",Teacher retention commission: 8 proposals to stem exodus,"Teacher wellbeing chari ty Education Support has put forward a list of proposals to boost retention in the sector (published in partnership with Public First.) Report calls for review of teacher hours, retention targets and sabbaticals for headteachers every five years.",https://schoolsweek.co.uk/teacher-retention-commission-8-proposals-to-stem-exodus,teacher_rrd,schoolsweek.co.uk,schools_week,56,270,8,41,"Teacher retention commission: 8 proposals to stem exodus Teacher wellbeing chari ty Education Support has put forward a list of proposals to boost retention in the sector (published in partnership with Public First.) Report calls for review of teacher hours, retention targets and sabbaticals for headteachers every five years.",327,49
3e63ace7-754c-4bfd-9c36-2242d4790059,1,11 July 2023,Thematic roundup,"Teacher recruitment, retention and development",Who's supporting school leaders to stop them hitting crisis point?,"Recruitment and retention difficulties, Ofsted pressures, and the dismantling of other public services is leaving heads, as Executive head Sara-Jane Bake puts it, ""exhausted trying to keep all the plates spinning. We are so busy looking after everybody else – but we need looking after too.""",https://schoolsweek.co.uk/whos-supporting-school-leaders-to-stop-them-hitting-crisis-point,teacher_rrd,schoolsweek.co.uk,schools_week,66,291,10,46,"Who's supporting school leaders to stop them hitting crisis point? Recruitment and retention difficulties, Ofsted pressures, and the dismantling of other public services is leaving heads, as Executive head Sara-Jane Bake puts it, ""exhausted trying to keep all the plates spinning. We are so busy looking after everybody else – but we need looking after too.""",358,56
ef1f3a69-19bf-427f-99a9-acec4fd4afed,1,11 July 2023,Thematic roundup,Digital,Digital Poverty Alliance,A charity whose vision is for everyone to access the life changing benefits that digital brings. Homepage - https://digitalpovertyalliance.org/,https://digitalpovertyalliance.org/,digital_ed,digitalpovertyalliance.org,digital_poverty_alliance,24,143,3,19,Digital Poverty Alliance A charity whose vision is for everyone to access the life changing benefits that digital brings. Homepage - https://digitalpovertyalliance.org/,168,22
56bbc37a-4fc1-4906-a7fa-2b55c664cff7,1,11 July 2023,Thematic roundup,Digital,A long read from Nuffield funded research project ' Advancing Leadership Development in Early Years Education via Digitally Mediated Professional Learning',"In brief, the report finds:",https://www.nuffieldfoundation.org/wp-content/uploads/2021/10/Project-Report-Advancing-Ear-Years-Leadership-Development.pdf,digital_ed,www.nuffieldfoundation.org,nuffield,155,27,21,5,"A long read from Nuffield funded research project ' Advancing Leadership Development in Early Years Education via Digitally Mediated Professional Learning' In brief, the report finds:",183,26
