id,newsletter_number,issue_date,new_theme,text,domain,organisation,text_for_vader,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_label
c97ff62f-83ca-47ec-a4c7-b4e24157ae0a,1,11 July 2023,political_context_and_organisations,"Deadline 23 August 2023 Education secretary Gillian Keegan has launched a call for evidence on using artificial intelligence (AI) like ChatGPT in schools ""to get the best"" out of the new technology.",schoolsweek.co.uk,schools_week,"Deadline 23 August 2023 Education secretary Gillian Keegan has launched a call for evidence on using artificial intelligence (AI) like ChatGPT in schools ""to get the best"" out of the new technology.",0.0,0.712,0.288,0.8834,positive
e66a8dd2-0dce-444a-876c-3c8137ea2985,1,11 July 2023,political_context_and_organisations,"Revealed: the experts advising ministers on teacher training reforms review The Department for Education has appointed an ""external steering group"" to review both the initial teacher training and early career frameworks, first launched in 2019. The group is made up of seven experts who are ""closely familiar"" with both reforms, as well as the ""underpinning evidence"". They will help ""shape the work of the review, scrutinising, supporting and challenging our thinking"", the DfE said.",schoolsweek.co.uk,schools_week,"Revealed: the experts advising ministers on teacher training reforms review The Department for Education has appointed an ""external steering group"" to review both the initial teacher training and early career frameworks, first launched in 2019. The group is made up of seven experts who are ""closely familiar"" with both reforms, as well as the ""underpinning evidence"". They will help ""shape the work of the review, scrutinising, supporting and challenging our thinking"", the DfE said.",0.0,0.865,0.135,0.8316,positive
2ce7fa71-0b07-417c-a7d3-8d18e8f12716,1,11 July 2023,political_context_and_organisations,"Reject fewer teacher applicants, DfE tells trainers Susan Acland-Hood, the DfE's permanent secretary, told providers a 7 per cent jump in applicants this year had not led to an equivalent rise in offers for courses.",schoolsweek.co.uk,schools_week,"Reject fewer teacher applicants, DfE tells trainers Susan Acland-Hood, the DfE's permanent secretary, told providers a 7 per cent jump in applicants this year had not led to an equivalent rise in offers for courses.",0.074,0.926,0.0,-0.4019,negative
64c74d6d-b558-4183-a42d-e7f0141ce527,1,11 July 2023,political_context_and_organisations,"Ofqual and DfE studying 'feasibility' of 'fully digital' exams Some exam boards are already piloting on-screen assessment, but research by AQA last year found teachers' biggest barrier to digital exams was a lack of infrastructure. https://schoolsweek.co.uk/ofqual-and-dfe-studying-feasibility-of-fully-digital-exams/",schoolsweek.co.uk,schools_week,"Ofqual and DfE studying 'feasibility' of 'fully digital' exams Some exam boards are already piloting on-screen assessment, but research by AQA last year found teachers' biggest barrier to digital exams was a lack of infrastructure.",0.125,0.875,0.0,-0.5719,negative
5564ff61-bf33-482f-9010-32aea9ce1f73,1,11 July 2023,political_context_and_organisations,"Revealed: The full details of Labour's education 'mission' Entitled 'Breaking down the barrier to opportunity', Labour will 'revise delivery' of the ECF and give more details on the plan to simplify the system of teacher incentives. Full mission document here - https://schoolsweek.co.uk/wp-content/uploads/2023/07/Labour-breaking-down-barriers-document.pdf",schoolsweek.co.uk,schools_week,"Revealed: The full details of Labour's education 'mission' Entitled 'Breaking down the barrier to opportunity', Labour will 'revise delivery' of the ECF and give more details on the plan to simplify the system of teacher incentives. Full mission document here -",0.033,0.81,0.158,0.6908,positive
38ffb848-63e3-46b7-9c1a-db8ec2b5c319,1,11 July 2023,political_context_and_organisations,"Lib Dem Munira Wilson, Lib Dem spokesperson for education, is currently drawing up what she says is a ""strong education offer"" in the Lib Dem manifesto. Details seem thin on the ground so far. https://schoolsweek.co.uk/munira-wilson-lib-dem-education-spokesperson/",schoolsweek.co.uk,schools_week,"Lib Dem Munira Wilson, Lib Dem spokesperson for education, is currently drawing up what she says is a ""strong education offer"" in the Lib Dem manifesto. Details seem thin on the ground so far.",0.0,0.909,0.091,0.5106,positive
c447d999-a0b5-4f21-8dd5-5fcda2abfe16,1,11 July 2023,teacher_rrd,"Teacher retention commission: 8 proposals to stem exodus Teacher wellbeing chari ty Education Support has put forward a list of proposals to boost retention in the sector (published in partnership with Public First.) Report calls for review of teacher hours, retention targets and sabbaticals for headteachers every five years.",schoolsweek.co.uk,schools_week,"Teacher retention commission: 8 proposals to stem exodus Teacher wellbeing chari ty Education Support has put forward a list of proposals to boost retention in the sector (published in partnership with Public First.) Report calls for review of teacher hours, retention targets and sabbaticals for headteachers every five years.",0.0,0.852,0.148,0.7906,positive
3e63ace7-754c-4bfd-9c36-2242d4790059,1,11 July 2023,teacher_rrd,"Who's supporting school leaders to stop them hitting crisis point? Recruitment and retention difficulties, Ofsted pressures, and the dismantling of other public services is leaving heads, as Executive head Sara-Jane Bake puts it, ""exhausted trying to keep all the plates spinning. We are so busy looking after everybody else – but we need looking after too.""",schoolsweek.co.uk,schools_week,"Who's supporting school leaders to stop them hitting crisis point? Recruitment and retention difficulties, Ofsted pressures, and the dismantling of other public services is leaving heads, as Executive head Sara-Jane Bake puts it, ""exhausted trying to keep all the plates spinning. We are so busy looking after everybody else – but we need looking after too.""",0.15,0.818,0.032,-0.6369,negative
ef1f3a69-19bf-427f-99a9-acec4fd4afed,1,11 July 2023,digital_ed,Digital Poverty Alliance A charity whose vision is for everyone to access the life changing benefits that digital brings. Homepage - https://digitalpovertyalliance.org/,digitalpovertyalliance.org,digital_poverty_alliance,Digital Poverty Alliance A charity whose vision is for everyone to access the life changing benefits that digital brings. Homepage -,0.119,0.614,0.267,0.4767,positive
56bbc37a-4fc1-4906-a7fa-2b55c664cff7,1,11 July 2023,digital_ed,"A long read from Nuffield funded research project ' Advancing Leadership Development in Early Years Education via Digitally Mediated Professional Learning' In brief, the report finds:",www.nuffieldfoundation.org,nuffield,"A long read from Nuffield funded research project ' Advancing Leadership Development in Early Years Education via Digitally Mediated Professional Learning' In brief, the report finds:",0.0,1.0,0.0,0.0,neutral
a81ad4d3-6b69-4e8d-88bf-570c1cc98d7e,1,11 July 2023,project_updates,"Post-16 Maths Nuffield Director of Education, John Hillman on 'The issues swirling round delivery of the PM's post-16 maths plan'",www.fenews.co.uk,fe_news,"Post-16 Maths Nuffield Director of Education, John Hillman on 'The issues swirling round delivery of the PM's post-16 maths plan'",0.0,1.0,0.0,0.0,neutral
b8724849-2653-4481-80e5-27f3d512cb08,1,11 July 2023,political_context_and_organisations,"ChatGPT: Keegan launches call for evidence on AI in schools Deadline 23 August 2023 Education secretary Gillian Keegan has launched a call for evidence on using artificial intelligence (AI) like ChatGPT in schools ""to get the best"" out of the new technology.",schoolsweek.co.uk,schools_week,"ChatGPT: Keegan launches call for evidence on AI in schools Deadline 23 August 2023 Education secretary Gillian Keegan has launched a call for evidence on using artificial intelligence (AI) like ChatGPT in schools ""to get the best"" out of the new technology.",0.0,0.771,0.229,0.8834,positive
fcaae137-15df-4954-88a5-ed5ecf5b069e,1,11 July 2023,political_context_and_organisations,"Labour Revealed: The full details of Labour's education 'mission' Entitled 'Breaking down the barrier to opportunity', Labour will 'revise delivery' of the ECF and give more details on the plan to simplify the system of teacher incentives.",schoolsweek.co.uk,schools_week,"Labour Revealed: The full details of Labour's education 'mission' Entitled 'Breaking down the barrier to opportunity', Labour will 'revise delivery' of the ECF and give more details on the plan to simplify the system of teacher incentives.",0.036,0.791,0.173,0.6908,positive
b83f3825-767b-4f21-90aa-35e36ed27a11,2,16 July 2023,digital_ed,Cutting through the conjecture: How is EdTech really being used in our classrooms? Full post - https://edtech.oii.ox.ac.uk/cutting-through-the-conjecture/,edtech.oii.ox.ac.uk,oii_edtech_equity,Cutting through the conjecture: How is EdTech really being used in our classrooms? Full post -,0.091,0.909,0.0,-0.128,negative
237938bb-bac2-4977-8b83-b12f02c37478,2,16 July 2023,project_updates,"Poorer pupils do worse at school – here's how to reduce the attainment gap Stephen Gorard writes for The Conversation on closing the attainment gap, specifically by looking at 'spread(ing) out the most disadvantaged students between schools' and better calibrating the funding to follow the most disadvantaged pupils.",theconversation.com,conversation,"Poorer pupils do worse at school – here's how to reduce the attainment gap Stephen Gorard writes for The Conversation on closing the attainment gap, specifically by looking at 'spread(ing) out the most disadvantaged students between schools' and better calibrating the funding to follow the most disadvantaged pupils.",0.202,0.748,0.05,-0.8265,negative
3187712e-c9ee-4afb-b71c-338f775c499b,2,16 July 2023,events_opportunities_research,Date: Wednesday 19 th July 9.30 – 11.30 https://epi.org.uk/events/education-priorities-for-the-next-general-election/,epi.org.uk,epi,Date: Wednesday 19 th July 9.30 – 11.30,0.0,1.0,0.0,0.0,neutral
a11ff0aa-c8a7-4ff9-813c-cf1620bd756c,2,16 July 2023,events_opportunities_research,(FED) Report calls for 'Chris Whitty of education' Chief education officer would 'ensure that policies and plans are given the attention and priority they deserve' https://schoolsweek.co.uk/report-calls-for-chris-whitty-of-education/ FED report - https://fed.education/wp-content/uploads/2023/06/FED-National-Education-Consultation-Report-2023-1.pdf,schoolsweek.co.uk,schools_week,(FED) Report calls for 'Chris Whitty of education' Chief education officer would 'ensure that policies and plans are given the attention and priority they deserve'  FED report -,0.0,0.912,0.088,0.3818,positive
6319ebbb-61ad-4b89-9aa0-3976f5ef1a6a,2,16 July 2023,events_opportunities_research,"Pearson School report 2023 This report takes an in-depth look at life in schools in 2023 (using data from Teacher Tapp among other sources) from the collective perspective of over 6,000 educators and 1,000 students too. They look at how opinions have changed or stayed the same, and share insights on diversity, equity, inclusion, digital education, environmental action and more.",www.pearson.com,pearson,"Pearson School report 2023 This report takes an in-depth look at life in schools in 2023 (using data from Teacher Tapp among other sources) from the collective perspective of over 6,000 educators and 1,000 students too. They look at how opinions have changed or stayed the same, and share insights on diversity, equity, inclusion, digital education, environmental action and more.",0.0,0.964,0.036,0.296,positive
cb28c415-efe0-42f4-ad0e-d7fefde5a8e9,2,16 July 2023,teacher_rrd,"Consider 'golden handcuff' bursaries, major ITT providers say Six key findings from the education committee hearing on recruitment and retention crisis, including restructuring bursaries, 'maintain(ing) the gates to the profession' and MATs 'employing mentors'.",schoolsweek.co.uk,schools_week,"Consider 'golden handcuff' bursaries, major ITT providers say Six key findings from the education committee hearing on recruitment and retention crisis, including restructuring bursaries, 'maintain(ing) the gates to the profession' and MATs 'employing mentors'.",0.111,0.889,0.0,-0.6249,negative
4be03fc8-cf1e-4118-8151-b35c839a8bf9,2,16 July 2023,teacher_rrd,"NFER Research - Policy options for a long-term teacher pay and financial incentives strategy Sarah Tang and Jack Worth examine the forecasted impacts and costs of different levels of pay and financial incentives on teacher supply in England. The project, funded by the Gatsby Foundation, uses a forecast and simulation model developed by NFER to predict the impact of different pay and financial incentive policy options on the recruitment and retention of teachers between 2023/24 to 2027/28. Report - https://www.nfer.ac.uk/policy-options-for-a-long-term-teacher-pay-and-financial-incentives-strategy",www.nfer.ac.uk,nfer,"NFER Research - Policy options for a long-term teacher pay and financial incentives strategy Sarah Tang and Jack Worth examine the forecasted impacts and costs of different levels of pay and financial incentives on teacher supply in England. The project, funded by the Gatsby Foundation, uses a forecast and simulation model developed by NFER to predict the impact of different pay and financial incentive policy options on the recruitment and retention of teachers between 2023/24 to 2027/28. Report -",0.049,0.845,0.106,0.7003,positive
