id,text,new_theme,organisation,org_group,year_quarter,llm_label,llm_confidence,text_for_vader,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
283022f3-2026-44cd-8ec8-8ec124406356,"Parliament POST – Horizen Scanning Teacher recruitment, retention, training and development With ongoing challenges to recruitment and retention, how can the government ensure schools have the teaching workforce they need? Includes citations from Durham PI Stephen Gorard and co-I Beng Huat See. Read",teacher_rrd,post_parliament,Other,2024Q4,neutral,0.8,"Parliament POST – Horizen Scanning Teacher recruitment, retention, training and development With ongoing challenges to recruitment and retention, how can the government ensure schools have the teaching workforce they need? Includes citations from Durham PI Stephen Gorard and co-I Beng Huat See. Read",0.0,0.913,0.087,0.4404,positive
9422ca2d-5615-4215-8ba6-c76b5c322907,Labour Labour Party Education Policies: Ranked by Teachers! TeacherTapp - https://teachertapp.co.uk/articles/labour-party-policies-ranked-comparative-judgement/,political_context_and_organisations,teacher_tapp,teacher_tapp,2023Q3,neutral,0.8,Labour Labour Party Education Policies: Ranked by Teachers! TeacherTapp -,0.0,0.751,0.249,0.4574,positive
fb0e9989-0a17-493e-bc65-f94f92e99689,"TES - What we can learn from Canada about SEND Across the Atlantic better integration and stronger collaboration provide a fairer system for all, writes one MP who is part of a Commons committee investigating the SEND support crisis",political_context_and_organisations,tes,tes,2025Q3,neutral,0.8,"TES - What we can learn from Canada about SEND Across the Atlantic better integration and stronger collaboration provide a fairer system for all, writes one MP who is part of a Commons committee investigating the SEND support crisis",0.087,0.74,0.173,0.4767,positive
60ffe7c2-e11b-46e1-910a-49fa68af7632,OECD – PISA in focus - Managing screen time How to protect and equip students against distraction,digital_ed,oecd,oecd,2024Q2,neutral,0.8,OECD – PISA in focus - Managing screen time How to protect and equip students against distraction,0.129,0.743,0.129,0.0,neutral
142d6190-da40-47c4-b41b-6c8a44a78ac0,NI teaching unions accept formal pay offer to bring starting wages in line with England Belfast Telegraph,political_context_and_organisations,belfast_telegraph,belfast_telegraph,2024Q2,positive,0.8,NI teaching unions accept formal pay offer to bring starting wages in line with England Belfast Telegraph,0.074,0.789,0.137,0.296,positive
2cef28ae-76ee-4dd5-bf7a-8395ac90662a,House of Lords Library research briefing - Children's Wellbeing and Schools Bill A summary of the changes proposed in the Children's Wellbeing and Schools Bill has been published by the House of Lords - it is scheduled for second reading in the House of Lords on 1 May 2025. The bill would make a number of changes to children's social care and schools. Read the summary here:,political_context_and_organisations,house_of_lords_library,Other,2025Q2,neutral,0.9,House of Lords Library research briefing - Children's Wellbeing and Schools Bill A summary of the changes proposed in the Children's Wellbeing and Schools Bill has been published by the House of Lords - it is scheduled for second reading in the House of Lords on 1 May 2025. The bill would make a number of changes to children's social care and schools. Read the summary here:,0.0,0.935,0.065,0.5423,positive
53332fb7-6c7b-446f-91ed-daf36059f819,OECD - Education Policy Outlook 2024 Reshaping Teaching into a Thriving Profession from ABCs to AI,teacher_rrd,oecd,oecd,2024Q4,neutral,0.8,OECD - Education Policy Outlook 2024 Reshaping Teaching into a Thriving Profession from ABCs to AI,0.0,1.0,0.0,0.0,neutral
b941763c-3320-4466-bbdc-23173bc3f1c6,EEF – Teacher recruitment and retention commissioning round New funding round aimed at generating evidence on effective strategies and approaches for the recruitment and retention of teachers. This round includes two distinct Invitations to Tender: Teacher Recruitment and Teacher Retention. Closing date for expressions of interest: 31 January 2024 5pm,teacher_rrd,eef,Other,2024Q1,neutral,0.8,EEF – Teacher recruitment and retention commissioning round New funding round aimed at generating evidence on effective strategies and approaches for the recruitment and retention of teachers. This round includes two distinct Invitations to Tender: Teacher Recruitment and Teacher Retention. Closing date for expressions of interest: 31 January 2024 5pm,0.0,0.887,0.113,0.7269,positive
19b9ddf4-1541-49f0-8cdf-ee83b89cd402,Linkedin newsletter – Julian Grenier -Early Years Evidence in Action - 7 essential reads about research and practice in the early years Subscribe,political_context_and_organisations,linkedin,Other,2024Q4,neutral,0.8,Linkedin newsletter – Julian Grenier -Early Years Evidence in Action - 7 essential reads about research and practice in the early years Subscribe,0.0,1.0,0.0,0.0,neutral
f06f870f-5af2-4091-8cdf-4921a7f3d783,DfE NI - Education Minister announces research study evaluating how AI tools can support literacy a new major research study to evaluate how AI tools can support literacy among disadvantaged pupils and those with Special Educational Needs.,political_context_and_organisations,ni_government,ni_government,2025Q2,positive,0.8,DfE NI - Education Minister announces research study evaluating how AI tools can support literacy a new major research study to evaluate how AI tools can support literacy among disadvantaged pupils and those with Special Educational Needs.,0.062,0.753,0.185,0.6597,positive
334d2bb1-0515-4d19-8166-cc6d4d73c202,"Fix SEN funding to avoid 'absurd' council deficits in England, IFS says Thinktank calls on government to set a long-term vision for radical change Read the IFS report",political_context_and_organisations,guardian,guardian,2024Q4,critical,0.8,"Fix SEN funding to avoid 'absurd' council deficits in England, IFS says Thinktank calls on government to set a long-term vision for radical change Read the IFS report",0.073,0.861,0.066,-0.0516,critical
ddc9120d-9396-4c55-8f1a-37747c75a6b4,IPPR report - An electoral strategy for childcare Rachel Statham and Melanie Wilkes,political_context_and_organisations,ippr,Other,2024Q2,neutral,0.8,IPPR report - An electoral strategy for childcare Rachel Statham and Melanie Wilkes,0.0,1.0,0.0,0.0,neutral
e0e7f3e3-e655-484e-92a3-c555736ffed9,"Institute for Government - Policy making in the era of artificial intelligence Technology is changing and so should the civil service, however questions remain as to how generative AI, and particularly large language models (LLMs), can be most effectively used and what that means for the human policy maker.",digital_ed,ifg,Other,2025Q1,neutral,0.8,"Institute for Government - Policy making in the era of artificial intelligence Technology is changing and so should the civil service, however questions remain as to how generative AI, and particularly large language models (LLMs), can be most effectively used and what that means for the human policy maker.",0.0,0.882,0.118,0.7425,positive
