table_schema,table_name,column_name,data_type
public,articles,url,text
public,articles,title,text
public,articles,date,date
public,articles,text,text
public,articles,source,text
public,articles,country,text
public,articles,type,text
public,articles,institution_name,text
public,articles,week_number,integer
public,articles,week_start,date
public,articles,week_end,date
public,articles,dominant_topic,text
public,articles,topic_probabilities,jsonb
public,articles,sentiment_score,double precision
public,articles,sentiment_label,text
public,articles,created_at,timestamp with time zone
