organisation,ai_tools,phones_safety,equity_access,governance_regulation,learning_outcomes,teacher_development
5rights_foundation,66.7,83.3,16.7,100.0,0.0,0.0
academy_of_social_sciences,0.0,0.0,0.0,0.0,0.0,0.0
action_for_children,0.0,0.0,0.0,0.0,0.0,0.0
ada_lovelace_institute,0.0,0.0,0.0,0.0,0.0,0.0
alan_turing_institute,0.0,0.0,0.0,0.0,0.0,0.0
all_party_parliamentary_group_schools,0.0,0.0,0.0,0.0,0.0,0.0
ambition_institute,0.0,0.0,0.0,0.0,0.0,0.0
arc_institute,0.0,0.0,0.0,0.0,0.0,0.0
ari_association_for_research_innovation,0.0,0.0,0.0,0.0,0.0,0.0
ascl,0.0,0.0,0.0,0.0,0.0,0.0
association_of_directors_of_childrens_services,0.0,0.0,0.0,0.0,0.0,0.0
atkins_realis,0.0,0.0,0.0,0.0,0.0,0.0
barnardos,0.0,0.0,0.0,0.0,0.0,0.0
bbc,0.0,0.0,0.0,0.0,0.0,0.0
becky_allen_substack,0.0,0.0,0.0,0.0,0.0,0.0
belfast_telegraph,0.0,0.0,0.0,0.0,0.0,0.0
bennie_kara_substack,0.0,0.0,0.0,0.0,0.0,0.0
bera,60.0,20.0,0.0,20.0,40.0,40.0
bera_journals,0.0,0.0,0.0,0.0,0.0,0.0
bett_show,0.0,0.0,0.0,0.0,0.0,0.0
beyth_consultancy,0.0,0.0,0.0,0.0,0.0,0.0
big_education,0.0,0.0,0.0,0.0,0.0,0.0
british_academy,0.0,0.0,0.0,0.0,0.0,0.0
cambridge_university_press,0.0,0.0,0.0,0.0,0.0,0.0
cape_collaboration_for_public_engagement,0.0,0.0,0.0,0.0,0.0,0.0
centre_for_economic_performance_lse,0.0,0.0,0.0,0.0,0.0,0.0
centre_for_education_and_youth,0.0,0.0,0.0,0.0,0.0,0.0
centre_for_mental_health,0.0,0.0,0.0,0.0,0.0,0.0
centre_for_social_justice,0.0,0.0,0.0,0.0,0.0,0.0
centre_for_young_lives,0.0,0.0,0.0,0.0,0.0,0.0
chandler_institute,0.0,0.0,0.0,0.0,0.0,0.0
charities_supporting_teachers_uk,0.0,0.0,0.0,0.0,0.0,0.0
chartered_college_of_teaching,100.0,40.0,20.0,20.0,100.0,60.0
chartered_institute_of_public_relations,0.0,0.0,0.0,0.0,0.0,0.0
child_poverty_action_group,0.0,0.0,0.0,0.0,0.0,0.0
children_in_wales,0.0,0.0,0.0,0.0,0.0,0.0
children_rights_alliance_england,0.0,0.0,0.0,0.0,0.0,0.0
childrend_participation_in_schools,0.0,0.0,0.0,0.0,0.0,0.0
childrens_commissioner,0.0,100.0,0.0,0.0,33.3,0.0
conversation,50.0,50.0,0.0,50.0,0.0,50.0
coproduction_collective,0.0,0.0,0.0,0.0,0.0,0.0
council_of_europe,0.0,0.0,0.0,0.0,0.0,0.0
daily_mirror,0.0,0.0,0.0,0.0,0.0,0.0
daily_telegraph,0.0,0.0,0.0,0.0,0.0,0.0
