organisation,corpus_n,rrd_n,rrd_ratio,corpus_pct,rrd_pct
schools_week,180,64,0.35555555555555557,10.882708585247885,27.467811158798284
nfer,31,18,0.5806451612903226,1.8742442563482467,7.725321888412018
uk_government,116,18,0.15517241379310345,7.013301088270858,7.725321888412018
bera,43,9,0.20930232558139536,2.599758162031439,3.862660944206009
epi,37,8,0.21621621621621623,2.2370012091898426,3.4334763948497855
tes,25,8,0.32,1.5114873035066507,3.4334763948497855
ucl,86,7,0.08139534883720931,5.199516324062878,3.004291845493562
teacher_tapp,12,6,0.5,0.7255139056831923,2.575107296137339
uk_parliament,58,6,0.10344827586206896,3.506650544135429,2.575107296137339
bera_journals,21,5,0.23809523809523808,1.2696493349455864,2.1459227467811157
oecd,26,5,0.19230769230769232,1.5719467956469164,2.1459227467811157
chartered_college_of_teaching,18,5,0.2777777777777778,1.0882708585247884,2.1459227467811157
conversation,40,4,0.1,2.418379685610641,1.7167381974248928
eef,14,3,0.21428571428571427,0.8464328899637243,1.2875536480686696
politics_home,3,3,1.0,0.18137847642079807,1.2875536480686696
