id,newsletter_number,issue_date,theme,subtheme,title,description,link
42195856-a6be-4da9-a656-a1fe8f23a9aa,1,11 July 2023,Calls for evidence,nan,ChatGPT: Keegan launches call for evidence on AI in schools,nan,nan
c97ff62f-83ca-47ec-a4c7-b4e24157ae0a,1,11 July 2023,Calls for evidence,nan,Deadline 23 August 2023,"Education secretary Gillian Keegan has launched a call for evidence on using artificial intelligence (AI) like ChatGPT in schools ""to get the best"" out of the new technology.",https://schoolsweek.co.uk/chatgpt-keegan-launches-call-for-evidence-on-ai-in-schools
e66a8dd2-0dce-444a-876c-3c8137ea2985,1,11 July 2023,DfE,nan,Revealed: the experts advising ministers on teacher training reforms review,"The Department for Education has appointed an ""external steering group"" to review both the initial teacher training and early career frameworks, first launched in 2019. The group is made up of seven experts who are ""closely familiar"" with both reforms, as well as the ""underpinning evidence"". They will help ""shape the work of the review, scrutinising, supporting and challenging our thinking"", the DfE said.",https://schoolsweek.co.uk/revealed-the-experts-advising-ministers-on-teacher-training-reforms-review
2ce7fa71-0b07-417c-a7d3-8d18e8f12716,1,11 July 2023,DfE,nan,"Reject fewer teacher applicants, DfE tells trainers","Susan Acland-Hood, the DfE's permanent secretary, told providers a 7 per cent jump in applicants this year had not led to an equivalent rise in offers for courses.",https://schoolsweek.co.uk/reject-fewer-teacher-applicants-dfe-tells-trainers
64c74d6d-b558-4183-a42d-e7f0141ce527,1,11 July 2023,DfE,nan,Ofqual and DfE studying 'feasibility' of 'fully digital' exams,"Some exam boards are already piloting on-screen assessment, but research by AQA last year found teachers' biggest barrier to digital exams was a lack of infrastructure. https://schoolsweek.co.uk/ofqual-and-dfe-studying-feasibility-of-fully-digital-exams/",https://schoolsweek.co.uk/teachers-back-digital-exams-in-principle-but-school-tech-not-yet-up-to-scratch
7a9cf7e7-865d-4043-b93b-28461cc3a838,1,11 July 2023,What are the politicians saying?,nan,Labour,nan,nan
5564ff61-bf33-482f-9010-32aea9ce1f73,1,11 July 2023,What are the politicians saying?,nan,Revealed: The full details of Labour's education 'mission',"Entitled 'Breaking down the barrier to opportunity', Labour will 'revise delivery' of the ECF and give more details on the plan to simplify the system of teacher incentives. Full mission document here - https://schoolsweek.co.uk/wp-content/uploads/2023/07/Labour-breaking-down-barriers-document.pdf",https://schoolsweek.co.uk/revealed-the-full-details-of-labours-education-mission
38ffb848-63e3-46b7-9c1a-db8ec2b5c319,1,11 July 2023,What are the politicians saying?,nan,Lib Dem,"Munira Wilson, Lib Dem spokesperson for education, is currently drawing up what she says is a ""strong education offer"" in the Lib Dem manifesto. Details seem thin on the ground so far. https://schoolsweek.co.uk/munira-wilson-lib-dem-education-spokesperson/",https://schoolsweek.co.uk/munira-wilson-lib-dem-education-spokesperson
c447d999-a0b5-4f21-8dd5-5fcda2abfe16,1,11 July 2023,Thematic roundup,"Teacher recruitment, retention and development",Teacher retention commission: 8 proposals to stem exodus,"Teacher wellbeing chari ty Education Support has put forward a list of proposals to boost retention in the sector (published in partnership with Public First.) Report calls for review of teacher hours, retention targets and sabbaticals for headteachers every five years.",https://schoolsweek.co.uk/teacher-retention-commission-8-proposals-to-stem-exodus
3e63ace7-754c-4bfd-9c36-2242d4790059,1,11 July 2023,Thematic roundup,"Teacher recruitment, retention and development",Who's supporting school leaders to stop them hitting crisis point?,"Recruitment and retention difficulties, Ofsted pressures, and the dismantling of other public services is leaving heads, as Executive head Sara-Jane Bake puts it, ""exhausted trying to keep all the plates spinning. We are so busy looking after everybody else – but we need looking after too.""",https://schoolsweek.co.uk/whos-supporting-school-leaders-to-stop-them-hitting-crisis-point
cbc67a0d-9bef-4aa6-949b-4fc8df644165,1,11 July 2023,Thematic roundup,Digital,AI: how are schools using the technology in classrooms?,nan,https://schoolsweek.co.uk/ai-how-are-schools-using-the-technology-in-classrooms
ef1f3a69-19bf-427f-99a9-acec4fd4afed,1,11 July 2023,Thematic roundup,Digital,Digital Poverty Alliance,A charity whose vision is for everyone to access the life changing benefits that digital brings. Homepage - https://digitalpovertyalliance.org/,https://digitalpovertyalliance.org/
56bbc37a-4fc1-4906-a7fa-2b55c664cff7,1,11 July 2023,Thematic roundup,Digital,A long read from Nuffield funded research project ' Advancing Leadership Development in Early Years Education via Digitally Mediated Professional Learning',"In brief, the report finds:",https://www.nuffieldfoundation.org/wp-content/uploads/2021/10/Project-Report-Advancing-Ear-Years-Leadership-Development.pdf
a81ad4d3-6b69-4e8d-88bf-570c1cc98d7e,1,11 July 2023,Seminar series topics,nan,Post-16 Maths,"Nuffield Director of Education, John Hillman on 'The issues swirling round delivery of the PM's post-16 maths plan'",https://www.fenews.co.uk/exclusive/the-issues-swirling-round-delivery-of-the-pms-post-16-maths-plan
