organisation,ai_tools,phones_safety,equity_access,governance_regulation,learning_outcomes,teacher_development
5rights_foundation,66.7,83.3,16.7,100.0,0.0,0.0
bera,60.0,20.0,0.0,20.0,40.0,40.0
chartered_college_of_teaching,100.0,40.0,20.0,20.0,100.0,60.0
childrens_commissioner,0.0,100.0,0.0,0.0,33.3,0.0
conversation,50.0,50.0,0.0,50.0,0.0,50.0
digital_poverty_alliance,100.0,0.0,100.0,0.0,33.3,33.3
guardian,20.0,80.0,10.0,20.0,20.0,10.0
london_school_of_economics,100.0,66.7,0.0,100.0,33.3,0.0
national_education_union,33.3,0.0,0.0,0.0,33.3,33.3
nuffield,75.0,50.0,25.0,25.0,75.0,75.0
oecd,75.0,37.5,12.5,12.5,62.5,12.5
schools_week,43.8,12.5,12.5,18.8,37.5,31.2
ucl,75.0,25.0,0.0,25.0,25.0,0.0
uk_government,76.0,20.0,12.0,32.0,36.0,28.0
uk_parliament,33.3,66.7,8.3,75.0,66.7,58.3
